"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"1xn","ThunderTalk Gaming","ADC",35,"37%","57%",127,73,147,3.8,"68.2%","31.6%","15.7%",,,,,9.7,,563,"28.1%",,305,"27.4%",,0.55,0.14,0.39
"369","JD Gaming","Top",36,"81%","61%",88,69,246,4.8,"54.2%","14.3%","18.3%",,,,,7.8,,498,"19.8%",,251,"19.4%",,0.37,0.14,0.17
"Able","Oh My God","ADC",40,"58%","43%",178,103,151,3.2,"66.5%","36.0%","22.0%",,,,,9.9,,652,"30.0%",,334,"28.0%",,0.57,0.05,0.51
"Ahn","Invictus Gaming","ADC",34,"38%","47%",123,88,199,3.7,"70.9%","27.1%","17.2%",,,,,9.7,,587,"27.5%",,323,"28.1%",,0.43,0.09,0.33
"Aki","Oh My God","Jungle",40,"58%","55%",93,91,237,3.6,"66.7%","18.8%","19.4%",,,,,5.8,,298,"13.7%",,221,"18.7%",,0.3,0.24,0.34
"Ale","EDward Gaming","Top",41,"49%","39%",104,103,175,2.7,"53.0%","19.8%","17.9%",,,,,8.6,,501,"23.0%",,269,"23.0%",,0.42,0.18,0.16
"Angel","Ninjas in Pyjamas","Middle",36,"42%","36%",109,75,180,3.9,"73.9%","27.9%","16.1%",,,,,8.4,,528,"25.5%",,263,"23.5%",,0.48,0.2,0.29
"Assum","Rare Atom","ADC",37,"32%","65%",148,121,137,2.4,"68.5%","35.6%","21.1%",,,,,9.5,,607,"30.5%",,309,"27.2%",,0.39,0.12,0.31
"Baolan","Rare Atom","Support",9,"33%","67%",3,40,53,1.4,"66.7%","3.6%","26.8%",,,,,1,,144,"7.8%",,95,"8.4%",,1.76,0.54,0.3
"Beichuan","ThunderTalk Gaming","Jungle",36,"42%","25%",72,109,248,2.9,"74.4%","16.7%","22.8%",,,,,5.7,,295,"14.9%",,203,"18.3%",,0.37,0.31,0.38
"beishang","Invictus Gaming","Jungle",7,"14%","43%",11,24,37,2,"71.6%","16.4%","22.6%",,,,,5.2,,250,"11.2%",,179,"17.8%",,0.35,0.31,0.39
"Bin","Bilibili Gaming","Top",37,"81%","65%",124,83,199,3.9,"48.8%","18.7%","18.0%",,,,,8.7,,524,"21.3%",,288,"21.8%",,0.42,0.18,0.15
"Bonnie","FunPlus Phoenix","Jungle",2,"0%","100%",3,6,6,1.5,"90.0%","30.0%","20.7%",,,,,4.9,,225,"14.7%",,169,"19.0%",,0.66,0.37,0.43
"Breathe","Royal Never Give Up","Top",40,"55%","58%",104,97,219,3.3,"57.5%","18.5%","18.7%",,,,,8.1,,510,"23.2%",,261,"21.7%",,0.42,0.19,0.17
"Care","FunPlus Phoenix","Middle",37,"43%","62%",88,94,188,2.9,"69.9%","22.3%","19.3%",,,,,7.9,,470,"24.1%",,249,"22.1%",,0.41,0.23,0.27
"Creme","Oh My God","Middle",40,"58%","55%",100,92,187,3.1,"58.0%","20.2%","19.6%",,,,,8.6,,538,"25.5%",,272,"22.7%",,0.43,0.13,0.26
"Crisp","Weibo Gaming","Support",39,"64%","36%",28,80,366,4.9,"78.5%","5.6%","20.3%",,,,,1,,149,"7.0%",,115,"9.6%",,1.68,0.56,0.37
"Cryin","Invictus Gaming","Middle",36,"36%","50%",113,100,216,3.3,"69.4%","23.8%","18.6%",,,,,7.9,,573,"27.7%",,247,"21.7%",,0.3,0.14,0.2
"Cube","Team WE","Top",37,"49%","43%",82,81,154,2.9,"51.3%","17.8%","18.8%",,,,,8.2,,474,"21.8%",,249,"21.4%",,0.5,0.16,0.16
"Decade","LGD Gaming","Top",17,"29%","41%",30,52,49,1.5,"46.2%","17.5%","21.3%",,,,,8.3,,446,"23.5%",,246,"22.1%",,0.47,0.19,0.12
"Doggo","Ultra Prime","ADC",38,"32%","50%",136,107,147,2.6,"70.6%","33.9%","18.3%",,,,,9.4,,545,"27.2%",,303,"27.2%",,0.51,0.18,0.34
"Dream","Ultra Prime","Middle",10,"30%","50%",32,35,43,2.1,"67.0%","28.6%","19.8%",,,,,8.4,,500,"24.9%",,273,"24.4%",,0.29,0.14,0.23
"Elk","Bilibili Gaming","ADC",37,"81%","65%",217,91,251,5.1,"70.7%","32.8%","19.8%",,,,,9.7,,711,"29.3%",,355,"27.0%",,0.52,0.19,0.42
"Envyy","LGD Gaming","ADC",21,"24%","52%",67,66,69,2.1,"63.8%","31.5%","20.4%",,,,,9.8,,557,"28.5%",,296,"27.3%",,0.42,0.14,0.33
"fearness","LGD Gaming","Top",22,"27%","50%",43,77,93,1.8,"50.7%","16.0%","22.7%",,,,,7.4,,473,"22.9%",,226,"20.3%",,0.36,0.19,0.18
"Feather","Rare Atom","Support",28,"32%","39%",17,112,238,2.3,"76.8%","5.1%","26.4%",,,,,1,,140,"7.2%",,104,"9.1%",,1.61,0.55,0.27
"Fisher","EDward Gaming","Middle",2,"0%","100%",2,12,10,1,"63.2%","10.5%","24.5%",,,,,6.5,,484,"23.6%",,175,"17.0%",,0.38,0.28,0.17
"FoFo","EDward Gaming","Middle",39,"51%","46%",141,89,209,3.9,"69.0%","27.8%","17.0%",,,,,8.1,,588,"26.9%",,258,"22.1%",,0.49,0.19,0.25
"Forge","Ultra Prime","Middle",28,"32%","54%",62,94,141,2.2,"70.2%","21.5%","23.0%",,,,,7.8,,519,"26.3%",,234,"21.4%",,0.34,0.16,0.2
"GALA","LNG Esports","ADC",37,"68%","54%",205,59,203,6.9,"71.6%","36.0%","15.4%",,,,,10.1,,695,"30.6%",,350,"28.3%",,0.37,0.13,0.37
"H4cker","FunPlus Phoenix","Jungle",35,"46%","46%",70,90,222,3.2,"75.8%","18.2%","19.6%",,,,,5.6,,309,"15.2%",,212,"18.5%",,0.49,0.3,0.48
"haichao","LGD Gaming","Middle",39,"28%","49%",104,95,175,2.9,"63.6%","23.7%","16.3%",,,,,8.4,,519,"25.7%",,258,"23.5%",,0.49,0.27,0.25
"Hang","LNG Esports","Support",37,"68%","46%",26,94,406,4.6,"75.8%","4.6%","24.5%",,,,,1,,146,"6.4%",,118,"9.5%",,1.68,0.49,0.34
"Harder","Anyone's Legend","Middle",26,"35%","42%",62,80,138,2.5,"68.3%","21.2%","20.8%",,,,,8.1,,495,"25.3%",,243,"22.0%",,0.3,0.15,0.24
"Heng","Team WE","Jungle",37,"49%","54%",87,94,265,3.7,"76.5%","18.9%","21.8%",,,,,5.4,,304,"14.1%",,208,"18.1%",,0.4,0.34,0.44
"Hery","Ultra Prime","Top",38,"32%","50%",65,95,159,2.4,"55.9%","16.2%","16.2%",,,,,8.1,,459,"23.4%",,243,"22.0%",,0.33,0.14,0.16
"Hope","Team WE","ADC",37,"49%","43%",157,81,191,4.3,"75.7%","34.1%","18.8%",,,,,9.6,,655,"29.7%",,323,"27.4%",,0.53,0.14,0.4
"HOYA","ThunderTalk Gaming","Top",41,"39%","54%",67,119,189,2.2,"54.0%","14.1%","21.6%",,,,,7.4,,439,"22.7%",,225,"20.6%",,0.37,0.21,0.22
"huanfeng","ThunderTalk Gaming","ADC",6,"50%","83%",25,10,23,4.8,"66.7%","34.7%","11.8%",,,,,10.5,,621,"29.9%",,333,"29.0%",,0.42,0.13,0.32
"iBoy","Anyone's Legend","ADC",21,"43%","14%",57,55,97,2.8,"65.5%","24.3%","20.2%",,,,,9.7,,530,"27.6%",,297,"26.4%",,0.33,0.11,0.34
"Invincible","Ninjas in Pyjamas","Top",36,"42%","53%",54,105,152,2,"52.7%","13.8%","22.5%",,,,,8.3,,476,"23.0%",,252,"22.0%",,0.41,0.16,0.16
"Iwandy","Team WE","Support",37,"49%","54%",18,103,338,3.5,"77.4%","3.9%","23.9%",,,,,1.1,,146,"6.9%",,110,"9.4%",,2.05,0.52,0.46
"JackeyLove","Top Esports","ADC",38,"66%","39%",195,76,216,5.4,"77.4%","36.7%","18.9%",,,,,10.1,,741,"33.6%",,348,"28.8%",,0.39,0.17,0.42
"JieJie","EDward Gaming","Jungle",41,"49%","73%",96,103,294,3.8,"74.1%","18.3%","17.9%",,,,,5.5,,327,"15.1%",,214,"18.4%",,0.45,0.29,0.53
"Jinjiao","LGD Gaming","Support",39,"28%","51%",17,141,274,2.1,"66.3%","3.9%","24.2%",,,,,1.1,,127,"6.5%",,99,"9.0%",,1.53,0.46,0.42
"Kanavi","JD Gaming","Jungle",36,"81%","64%",138,73,291,5.9,"69.6%","22.4%","19.4%",,,,,6.7,,472,"18.9%",,268,"20.5%",,0.44,0.24,0.46
"knight","JD Gaming","Middle",35,"80%","49%",166,76,238,5.3,"67.9%","27.9%","21.3%",,,,,8.5,,692,"27.2%",,301,"23.0%",,0.35,0.11,0.29
"Leave","EDward Gaming","ADC",8,"50%","63%",24,26,38,2.4,"65.3%","25.3%","25.5%",,,,,9.6,,472,"24.4%",,305,"25.9%",,0.34,0.11,0.28
"Leyan","Rare Atom","Jungle",37,"32%","43%",85,120,181,2.2,"63.9%","20.4%","20.9%",,,,,5.9,,292,"14.7%",,219,"19.4%",,0.52,0.21,0.55
"Light","Weibo Gaming","ADC",39,"64%","54%",175,49,176,7.2,"69.9%","34.9%","12.4%",,,,,10.3,,601,"28.0%",,338,"28.3%",,0.47,0.14,0.37
"LP","Royal Never Give Up","ADC",40,"55%","48%",185,111,198,3.5,"68.1%","32.9%","21.4%",,,,,9.7,,674,"29.9%",,329,"27.3%",,0.44,0.12,0.34
"Lpc","LGD Gaming","ADC",18,"33%","33%",67,52,76,2.8,"63.3%","29.6%","20.1%",,,,,9.3,,577,"27.0%",,291,"26.0%",,0.46,0.18,0.35
"LvMao","Royal Never Give Up","Support",40,"55%","65%",37,112,368,3.6,"72.1%","6.6%","21.6%",,,,,1,,143,"6.4%",,112,"9.3%",,1.63,0.48,0.39
"Lwx","FunPlus Phoenix","ADC",37,"43%","68%",141,104,153,2.8,"74.4%","35.7%","21.3%",,,,,9.9,,605,"30.0%",,321,"28.1%",,0.39,0.07,0.35
"Lzq","JD Gaming","Middle",1,"100%","0%",6,7,8,2,"66.7%","28.6%","33.3%",,,,,7.9,,694,"20.7%",,303,"23.9%",,0.52,0.23,0.14
"Mark","Top Esports","Support",38,"66%","68%",36,86,380,4.8,"78.3%","6.8%","21.4%",,,,,1,,136,"6.1%",,123,"10.1%",,1.58,0.47,0.41
"Meiko","EDward Gaming","Support",41,"49%","46%",17,154,390,2.6,"77.4%","3.2%","26.8%",,,,,1,,174,"8.1%",,109,"9.3%",,1.59,0.5,0.42
"Meteor","LGD Gaming","Jungle",39,"28%","59%",111,100,205,3.2,"72.0%","25.3%","17.2%",,,,,5.8,,344,"16.8%",,218,"19.7%",,0.37,0.25,0.41
"MISSING","JD Gaming","Support",36,"81%","28%",21,92,435,5,"74.0%","3.4%","24.4%",,,,,1.1,,169,"6.7%",,125,"9.5%",,1.85,0.53,0.33
"Mole","Rare Atom","Middle",9,"0%","44%",17,29,29,1.6,"59.0%","21.8%","17.2%",,,,,8,,559,"28.6%",,238,"22.8%",,0.3,0.16,0.26
"neny","Invictus Gaming","Top",2,"0%","0%",1,4,4,1.3,"41.7%","8.3%","12.9%",,,,,7.8,,367,"19.9%",,179,"19.8%",,0.29,0.06,0.17
"Ning","Ultra Prime","Jungle",38,"32%","53%",89,140,213,2.2,"75.3%","22.2%","23.9%",,,,,5.9,,340,"16.8%",,219,"19.8%",,0.45,0.3,0.39
"ON","Bilibili Gaming","Support",37,"81%","38%",33,122,457,4,"74.0%","5.0%","26.5%",,,,,1.3,,167,"6.9%",,135,"10.3%",,1.82,0.61,0.43
"Photic","Ninjas in Pyjamas","ADC",36,"42%","42%",129,92,133,2.8,"67.0%","33.0%","19.7%",,,,,9.8,,607,"29.0%",,314,"27.7%",,0.39,0.1,0.36
"pinz","Anyone's Legend","Middle",13,"23%","54%",23,42,54,1.8,"60.2%","18.0%","25.1%",,,,,7.8,,465,"24.2%",,227,"21.7%",,0.4,0.19,0.22
"ppgod","Oh My God","Support",40,"58%","35%",21,89,365,4.3,"78.0%","4.2%","19.0%",,,,,1,,122,"5.6%",,113,"9.3%",,1.62,0.44,0.28
"QiuQiu","FunPlus Phoenix","Support",37,"43%","59%",26,98,286,3.2,"79.0%","6.6%","20.1%",,,,,0.9,,152,"7.8%",,104,"9.1%",,1.6,0.47,0.3
"Rookie","Top Esports","Middle",38,"66%","61%",129,69,248,5.5,"71.0%","24.3%","17.2%",,,,,8.5,,585,"26.4%",,273,"22.5%",,0.33,0.17,0.24
"Ruler","JD Gaming","ADC",36,"81%","42%",197,60,213,6.8,"66.6%","32.0%","15.9%",,,,,10.2,,701,"27.6%",,360,"27.5%",,0.54,0.19,0.4
"Scout","LNG Esports","Middle",37,"68%","51%",156,73,244,5.5,"70.2%","27.4%","19.0%",,,,,8.4,,651,"28.3%",,295,"23.9%",,0.31,0.18,0.32
"shad0w","Ninjas in Pyjamas","Jungle",35,"43%","49%",74,97,211,2.9,"74.4%","19.3%","21.8%",,,,,5.2,,318,"15.5%",,200,"17.6%",,0.38,0.33,0.33
"shanji","Oh My God","Top",40,"58%","58%",103,94,198,3.2,"60.8%","20.8%","20.0%",,,,,7.9,,538,"25.2%",,254,"21.4%",,0.35,0.19,0.15
"Shanks","Team WE","Middle",37,"49%","46%",116,72,194,4.3,"67.4%","25.2%","16.7%",,,,,8.6,,593,"27.4%",,279,"23.8%",,0.34,0.1,0.27
"Strive","Rare Atom","Middle",28,"43%","50%",66,52,150,4.2,"63.9%","19.5%","12.9%",,,,,8.2,,483,"24.3%",,249,"21.6%",,0.41,0.17,0.22
"SwordArt","Ultra Prime","Support",38,"32%","42%",17,114,294,2.7,"77.6%","4.2%","19.5%",,,,,1,,134,"6.7%",,99,"8.8%",,1.59,0.47,0.27
"Tangyuan","Royal Never Give Up","Middle",40,"55%","50%",122,89,273,4.4,"70.3%","21.7%","17.1%",,,,,8.4,,539,"24.2%",,273,"22.9%",,0.46,0.19,0.25
"Tarzan","LNG Esports","Jungle",37,"68%","38%",98,91,304,4.4,"70.5%","17.2%","23.7%",,,,,5.1,,335,"14.8%",,211,"17.1%",,0.43,0.35,0.43
"TheShy","Weibo Gaming","Top",39,"64%","44%",74,93,166,2.6,"47.8%","14.7%","23.5%",,,,,8,,511,"25.2%",,250,"21.2%",,0.35,0.18,0.21
"Thesnake","EDward Gaming","ADC",2,"0%","100%",2,7,8,1.4,"83.3%","16.7%","19.4%",,,,,9.9,,518,"30.4%",,292,"30.0%",,0.39,0.16,0.64
"Tian","Top Esports","Jungle",38,"66%","45%",95,96,275,3.9,"69.7%","17.9%","23.9%",,,,,6,,314,"14.1%",,229,"19.1%",,0.48,0.37,0.5
"Tianzhen","Invictus Gaming","Jungle",29,"41%","48%",74,104,194,2.6,"65.8%","18.2%","24.1%",,,,,5.4,,292,"14.0%",,205,"17.6%",,0.47,0.39,0.38
"ucal","ThunderTalk Gaming","Middle",41,"39%","44%",157,80,197,4.4,"74.7%","33.1%","14.5%",,,,,8.8,,559,"28.1%",,280,"25.2%",,0.24,0.07,0.27
"Uzi","EDward Gaming","ADC",31,"52%","48%",140,80,165,3.8,"72.8%","33.4%","18.3%",,,,,9.9,,630,"27.5%",,326,"27.7%",,0.44,0.14,0.34
"Wayward","Top Esports","Top",38,"66%","47%",76,75,217,3.9,"55.2%","14.3%","18.7%",,,,,7.6,,427,"19.7%",,234,"19.4%",,0.46,0.22,0.15
"Wei","Royal Never Give Up","Jungle",40,"55%","45%",114,110,286,3.6,"71.2%","20.3%","21.2%",,,,,5.6,,366,"16.3%",,223,"18.7%",,0.6,0.37,0.49
"Weiwei","Weibo Gaming","Jungle",39,"64%","44%",72,92,294,4,"72.9%","14.3%","23.3%",,,,,5.3,,281,"13.2%",,204,"17.2%",,0.43,0.3,0.38
"Wen","Invictus Gaming","Top",5,"20%","20%",16,21,14,1.4,"63.8%","34.0%","25.9%",,,,,7.3,,599,"26.0%",,249,"23.8%",,0.38,0.18,0.13
"Wink","Invictus Gaming","Support",36,"36%","53%",27,108,300,3,"69.0%","5.7%","20.1%",,,,,1.2,,163,"7.9%",,107,"9.4%",,1.73,0.51,0.37
"Xiaohao","Anyone's Legend","Jungle",39,"31%","62%",127,83,205,4,"78.9%","30.2%","15.0%",,,,,6.2,,323,"16.7%",,223,"20.4%",,0.5,0.31,0.43
"Xiaohu","Weibo Gaming","Middle",39,"64%","67%",153,81,214,4.5,"73.1%","30.5%","20.5%",,,,,8.4,,563,"26.6%",,284,"23.8%",,0.35,0.18,0.34
"xiaohuangren","ThunderTalk Gaming","Jungle",5,"20%","80%",7,11,20,2.5,"61.4%","15.9%","15.1%",,,,,5.6,,291,"16.0%",,186,"18.7%",,0.51,0.39,0.28
"Xiaolaohu","FunPlus Phoenix","Top",37,"43%","35%",67,96,121,2,"47.6%","17.0%","19.7%",,,,,8.4,,448,"22.9%",,252,"22.1%",,0.41,0.17,0.15
"Xiaoxu","Rare Atom","Top",37,"32%","46%",80,99,154,2.4,"56.3%","19.2%","17.3%",,,,,8.1,,434,"22.1%",,258,"22.7%",,0.44,0.17,0.09
"xiaoyueji","Invictus Gaming","ADC",2,"0%","0%",6,3,4,3.3,"50.0%","30.0%","12.0%",,,,,10.1,,488,"22.5%",,313,"29.0%",,0.45,0.15,0.32
"XLB","Ninjas in Pyjamas","Jungle",1,"0%","100%",2,5,4,1.2,"75.0%","25.0%","22.7%",,,,,6.2,,428,"20.4%",,194,"21.0%",,0.24,0.2,0.4
"Xun","Bilibili Gaming","Jungle",37,"81%","38%",166,81,284,5.6,"68.0%","25.1%","17.6%",,,,,6,,420,"16.8%",,262,"19.8%",,0.37,0.27,0.38
"Yagao","Bilibili Gaming","Middle",37,"81%","35%",122,83,328,5.4,"68.0%","18.4%","18.0%",,,,,7.9,,623,"25.6%",,280,"21.1%",,0.35,0.14,0.26
"yaoyao","ThunderTalk Gaming","Support",32,"41%","72%",16,120,245,2.2,"67.6%","4.1%","28.0%",,,,,1,,112,"5.7%",,91,"8.1%",,1.87,0.59,0.32
"YSKM","Invictus Gaming","Top",29,"41%","52%",103,86,116,2.5,"52.8%","24.8%","20.2%",,,,,8.1,,488,"23.5%",,273,"23.3%",,0.38,0.13,0.16
"yuyanjia","ThunderTalk Gaming","Support",9,"33%","78%",3,29,49,1.8,"59.1%","3.4%","23.8%",,,,,0.8,,115,"6.4%",,95,"8.7%",,1.72,0.48,0.32
"Zdz","Anyone's Legend","Top",39,"31%","59%",81,106,147,2.2,"54.2%","19.2%","19.2%",,,,,8.1,,469,"24.5%",,245,"22.4%",,0.43,0.22,0.16
"zhiqiuyi","Anyone's Legend","ADC",18,"17%","61%",56,50,69,2.5,"67.2%","30.1%","17.9%",,,,,8.8,,502,"26.5%",,281,"26.8%",,0.37,0.16,0.27
"Zhuo","Ninjas in Pyjamas","Support",36,"42%","58%",23,92,265,3.1,"73.7%","5.9%","19.7%",,,,,1.1,,139,"6.9%",,105,"9.1%",,1.68,0.47,0.38
"Zika","LNG Esports","Top",37,"68%","49%",85,67,201,4.3,"50.2%","14.9%","17.4%",,,,,8.2,,451,"19.9%",,261,"21.2%",,0.39,0.21,0.2
"Zorah","Anyone's Legend","Support",39,"31%","49%",15,136,292,2.3,"72.9%","3.6%","24.6%",,,,,1.1,,127,"6.8%",,96,"8.8%",,1.65,0.57,0.36